,K,alpha,k,accuracy,precision,recall
203,10.0,2.0,13.0,0.5,"[0.6875     1.         0.375      0.5        0.33333333 0.33333333
 0.22222222 0.54545455 0.42857143 0.5       ]","[1.         1.         0.25       0.66666667 0.6        0.22222222
 0.2        0.54545455 0.33333333 0.2       ]"
204,10.0,2.0,21.0,0.51,"[0.6875     1.         0.33333333 0.58333333 0.33333333 0.42857143
 0.27272727 0.5        0.375      0.6       ]","[1.         1.         0.16666667 0.77777778 0.6        0.33333333
 0.3        0.36363636 0.33333333 0.3       ]"
205,10.0,2.0,34.0,0.47,"[0.57894737 1.         0.33333333 0.42857143 0.4        0.28571429
 0.33333333 0.5        0.33333333 0.2       ]","[1.         1.         0.08333333 0.66666667 0.8        0.22222222
 0.2        0.36363636 0.33333333 0.1       ]"
206,10.0,2.0,55.0,0.48,"[0.73333333 0.9        0.33333333 0.46153846 0.45       0.2
 0.33333333 0.28571429 0.30769231 0.4       ]","[1.         1.         0.16666667 0.66666667 0.9        0.11111111
 0.2        0.18181818 0.44444444 0.2       ]"
207,10.0,2.0,89.0,0.42,"[0.64705882 0.9        0.25       0.42857143 0.45       0.
 0.33333333 0.14285714 0.18181818 0.        ]","[1.         1.         0.08333333 0.66666667 0.9        0.
 0.3        0.09090909 0.22222222 0.        ]"
208,10.0,2.0,144.0,0.44,"[0.61111111 0.81818182 0.         0.46153846 0.45       0.
 0.4        0.125      0.23076923 0.2       ]","[1.         1.         0.         0.66666667 0.9        0.
 0.4        0.09090909 0.33333333 0.1       ]"
209,10.0,2.0,1.0,0.31,"[0.36363636 1.         0.27272727 0.33333333 0.36363636 0.22222222
 0.11111111 0.55555556 0.15384615 0.15384615]","[0.36363636 0.55555556 0.23076923 0.33333333 0.4        0.25
 0.1        0.45454545 0.2        0.22222222]"
210,10.0,2.0,2.0,0.36,"[0.4        0.625      0.25       0.30769231 0.42105263 0.
 0.2        0.63636364 0.2        0.5       ]","[0.54545455 0.55555556 0.23076923 0.44444444 0.8        0.
 0.1        0.63636364 0.1        0.11111111]"
211,10.0,2.0,3.0,0.4,"[0.53846154 0.75       0.31578947 0.44444444 0.41176471 0.2
 0.         0.44444444 0.4        0.28571429]","[0.63636364 0.66666667 0.46153846 0.44444444 0.7        0.25
 0.         0.36363636 0.2        0.22222222]"
212,10.0,2.0,5.0,0.39,"[0.5        0.85714286 0.4        0.38461538 0.33333333 0.21428571
 0.14285714 0.5        0.33333333 0.375     ]","[0.54545455 0.66666667 0.30769231 0.55555556 0.5        0.375
 0.1        0.36363636 0.2        0.33333333]"
213,10.0,2.0,8.0,0.37,"[0.54545455 0.71428571 0.23076923 0.4        0.27272727 0.23529412
 0.125      0.45454545 0.5        0.5       ]","[0.54545455 0.55555556 0.23076923 0.44444444 0.3        0.5
 0.1        0.45454545 0.2        0.44444444]"
214,10.0,2.0,13.0,0.4,"[0.5        0.75       0.25       0.42857143 0.25       0.23076923
 0.11111111 0.625      0.66666667 0.55555556]","[0.54545455 0.66666667 0.23076923 0.66666667 0.3        0.375
 0.1        0.45454545 0.2        0.55555556]"
215,10.0,2.0,21.0,0.4,"[0.46153846 0.75       0.57142857 0.46153846 0.29411765 0.2
 0.16666667 0.42857143 0.5        0.42857143]","[0.54545455 0.66666667 0.30769231 0.66666667 0.5        0.25
 0.2        0.27272727 0.3        0.33333333]"
216,10.0,2.0,34.0,0.38,"[0.6        0.63636364 0.33333333 0.54545455 0.25       0.11111111
 0.25       0.42857143 0.4        0.33333333]","[0.54545455 0.77777778 0.23076923 0.66666667 0.4        0.125
 0.4        0.27272727 0.2        0.22222222]"
217,10.0,2.0,55.0,0.39,"[0.45454545 0.72727273 0.28571429 0.46153846 0.25       0.5
 0.11111111 0.45454545 0.5        0.6       ]","[0.45454545 0.88888889 0.15384615 0.66666667 0.4        0.125
 0.2        0.45454545 0.3        0.33333333]"
218,10.0,2.0,89.0,0.37,"[0.41666667 0.66666667 0.2        0.5        0.25       0.
 0.19047619 0.33333333 0.57142857 0.42857143]","[0.45454545 0.88888889 0.07692308 0.55555556 0.4        0.
 0.4        0.27272727 0.4        0.33333333]"
219,10.0,2.0,144.0,0.39,"[0.5        0.61538462 0.28571429 0.5        0.25       0.
 0.26666667 0.3        0.5        0.28571429]","[0.63636364 0.88888889 0.15384615 0.55555556 0.4        0.
 0.4        0.27272727 0.4        0.22222222]"
220,10.0,3.0,1.0,0.48,"[0.85714286 0.83333333 0.41666667 0.5        0.35714286 0.4
 0.375      0.44444444 0.33333333 0.36363636]","[0.54545455 1.         0.38461538 0.44444444 0.5        0.44444444
 0.33333333 0.4        0.3        0.44444444]"
221,10.0,3.0,2.0,0.51,"[0.72727273 0.76923077 0.35714286 0.5        0.35       0.3
 0.4        0.66666667 0.4        1.        ]","[0.72727273 1.         0.38461538 0.55555556 0.7        0.33333333
 0.22222222 0.6        0.2        0.33333333]"
222,10.0,3.0,3.0,0.54,"[0.9        0.71428571 0.5        0.45454545 0.38888889 0.44444444
 1.         0.625      0.33333333 0.5       ]","[0.81818182 1.         0.46153846 0.55555556 0.7        0.44444444
 0.11111111 0.5        0.3        0.44444444]"
223,10.0,3.0,5.0,0.47,"[0.72727273 0.83333333 0.38461538 0.625      0.3125     0.4
 0.         0.45454545 0.25       0.33333333]","[0.72727273 1.         0.38461538 0.55555556 0.5        0.44444444
 0.         0.5        0.3        0.22222222]"
224,10.0,3.0,8.0,0.48,"[0.72727273 0.90909091 0.27272727 0.5        0.41176471 0.4
 0.33333333 0.57142857 0.15384615 0.57142857]","[0.72727273 1.         0.23076923 0.55555556 0.7        0.44444444
 0.11111111 0.4        0.2        0.44444444]"
225,10.0,3.0,13.0,0.5,"[0.66666667 0.90909091 0.36363636 0.5        0.35294118 0.28571429
 0.66666667 0.57142857 0.14285714 0.54545455]","[0.72727273 1.         0.30769231 0.77777778 0.6        0.22222222
 0.22222222 0.4        0.1        0.66666667]"
226,10.0,3.0,21.0,0.46,"[0.61538462 0.83333333 0.33333333 0.58333333 0.38888889 0.11111111
 0.         0.5        0.16666667 0.45454545]","[0.72727273 1.         0.30769231 0.77777778 0.7        0.11111111
 0.         0.3        0.1        0.55555556]"
227,10.0,3.0,34.0,0.51,"[0.57142857 0.83333333 0.5        0.6        0.38888889 0.14285714
 0.5        0.6        0.33333333 0.41666667]","[0.72727273 1.         0.38461538 1.         0.7        0.11111111
 0.22222222 0.3        0.1        0.55555556]"
228,10.0,3.0,55.0,0.48,"[0.61538462 0.76923077 0.28571429 0.52941176 0.38888889 0.125
 0.5        0.5        0.5        0.41666667]","[0.72727273 1.         0.15384615 1.         0.7        0.11111111
 0.33333333 0.2        0.1        0.55555556]"
229,10.0,3.0,89.0,0.46,"[0.66666667 0.71428571 0.22222222 0.47058824 0.41176471 0.125
 0.42857143 0.57142857 0.         0.33333333]","[0.72727273 1.         0.15384615 0.88888889 0.7        0.11111111
 0.33333333 0.4        0.         0.33333333]"
230,10.0,3.0,144.0,0.5,"[0.61538462 0.625      0.2        0.47058824 0.44444444 0.
 0.5        0.75       0.         0.71428571]","[0.72727273 1.         0.15384615 0.88888889 0.8        0.
 0.33333333 0.6        0.         0.55555556]"
231,10.0,3.0,1.0,0.38,"[0.88888889 0.875      0.33333333 0.6        0.25       0.09090909
 0.25       0.30769231 0.23076923 0.4       ]","[0.72727273 0.7        0.30769231 0.33333333 0.2        0.11111111
 0.44444444 0.4        0.3        0.22222222]"
232,10.0,3.0,2.0,0.4,"[0.57142857 0.66666667 0.27272727 0.66666667 0.54545455 0.09090909
 0.22222222 0.27272727 0.6        0.5       ]","[0.72727273 0.8        0.46153846 0.22222222 0.6        0.11111111
 0.22222222 0.3        0.3        0.11111111]"
233,10.0,3.0,3.0,0.4,"[0.5        0.57142857 0.26315789 0.6        0.63636364 0.14285714
 0.27272727 0.25       0.33333333 0.5       ]","[0.54545455 0.8        0.38461538 0.33333333 0.7        0.11111111
 0.33333333 0.2        0.3        0.22222222]"
234,10.0,3.0,5.0,0.44,"[0.625      0.66666667 0.4        0.77777778 0.45454545 0.33333333
 0.22222222 0.33333333 0.33333333 0.33333333]","[0.45454545 0.8        0.46153846 0.77777778 0.5        0.22222222
 0.44444444 0.3        0.3        0.11111111]"
235,10.0,3.0,8.0,0.42,"[0.66666667 0.72727273 0.5        0.66666667 0.55555556 0.14285714
 0.28571429 0.3        0.2        0.        ]","[0.54545455 0.8        0.46153846 0.66666667 0.5        0.11111111
 0.44444444 0.3        0.3        0.        ]"
236,10.0,3.0,13.0,0.47,"[0.6        0.72727273 0.6        0.6        0.54545455 0.33333333
 0.33333333 0.4        0.21428571 0.        ]","[0.54545455 0.8        0.69230769 0.66666667 0.6        0.11111111
 0.44444444 0.4        0.3        0.        ]"
237,10.0,3.0,21.0,0.54,"[0.77777778 0.66666667 0.5625     0.7        0.6        0.25
 0.4        0.55555556 0.23076923 0.57142857]","[0.63636364 0.8        0.69230769 0.77777778 0.6        0.11111111
 0.44444444 0.5        0.3        0.44444444]"
238,10.0,3.0,34.0,0.51,"[0.8        0.66666667 0.63636364 0.7        0.6        0.25
 0.27272727 0.45454545 0.25       0.4       ]","[0.72727273 0.8        0.53846154 0.77777778 0.6        0.11111111
 0.33333333 0.5        0.4        0.22222222]"
239,10.0,3.0,55.0,0.49,"[0.75       0.57142857 0.5        0.7        0.58333333 0.2
 0.3        0.57142857 0.15384615 0.57142857]","[0.54545455 0.8        0.53846154 0.77777778 0.7        0.11111111
 0.33333333 0.4        0.2        0.44444444]"
240,10.0,3.0,89.0,0.45,"[0.75       0.53333333 0.42857143 0.6        0.61538462 0.25
 0.3        0.4        0.         0.75      ]","[0.54545455 0.8        0.46153846 0.66666667 0.8        0.11111111
 0.33333333 0.4        0.         0.33333333]"
241,10.0,3.0,144.0,0.44,"[0.77777778 0.5        0.6        0.55555556 0.58333333 0.25
 0.21428571 0.3        0.         0.6       ]","[0.63636364 0.9        0.46153846 0.55555556 0.7        0.11111111
 0.33333333 0.3        0.         0.33333333]"
242,10.0,3.0,1.0,0.5,"[0.66666667 0.81818182 0.38888889 0.625      0.58333333 0.33333333
 0.3        0.54545455 0.         0.33333333]","[0.72727273 0.9        0.53846154 0.55555556 0.7        0.33333333
 0.33333333 0.6        0.         0.2       ]"
243,10.0,3.0,2.0,0.44,"[0.57142857 0.75       0.33333333 0.375      0.47058824 0.33333333
 0.         0.44444444 0.         0.33333333]","[0.72727273 0.9        0.69230769 0.33333333 0.8        0.22222222
 0.         0.4        0.         0.1       ]"
244,10.0,3.0,3.0,0.49,"[0.66666667 0.64285714 0.36363636 0.6        0.44444444 0.5
 0.25       0.55555556 0.         0.33333333]","[0.72727273 0.9        0.61538462 0.66666667 0.8        0.22222222
 0.22222222 0.5        0.         0.1       ]"
245,10.0,3.0,5.0,0.5,"[0.8        0.81818182 0.38095238 0.5        0.5        0.4
 0.22222222 0.42857143 0.         0.75      ]","[0.72727273 0.9        0.61538462 0.55555556 0.7        0.22222222
 0.22222222 0.6        0.         0.3       ]"
246,10.0,3.0,8.0,0.47,"[0.72727273 0.81818182 0.30434783 0.625      0.44444444 0.5
 0.25       0.45454545 0.         0.        ]","[0.72727273 0.9        0.53846154 0.55555556 0.8        0.33333333
 0.22222222 0.5        0.         0.        ]"
247,10.0,3.0,13.0,0.49,"[0.72727273 0.81818182 0.31818182 0.45454545 0.44444444 0.66666667
 0.125      0.625      0.         0.5       ]","[0.72727273 0.9        0.53846154 0.55555556 0.8        0.22222222
 0.11111111 0.5        0.         0.4       ]"
248,10.0,3.0,21.0,0.51,"[0.66666667 0.81818182 0.39130435 0.5        0.52941176 0.66666667
 0.28571429 0.45454545 0.         0.33333333]","[0.72727273 0.9        0.69230769 0.55555556 0.9        0.22222222
 0.22222222 0.5        0.         0.2       ]"
249,10.0,3.0,34.0,0.53,"[0.8        0.81818182 0.38461538 0.55555556 0.6        0.66666667
 0.16666667 0.46666667 1.         0.25      ]","[0.72727273 0.9        0.76923077 0.55555556 0.9        0.22222222
 0.11111111 0.7        0.11111111 0.1       ]"
250,10.0,3.0,55.0,0.56,"[0.88888889 0.75       0.44       0.5        0.625      1.
 0.16666667 0.45454545 0.5        0.57142857]","[0.72727273 0.9        0.84615385 0.55555556 1.         0.22222222
 0.11111111 0.5        0.11111111 0.4       ]"
251,10.0,3.0,89.0,0.55,"[0.8        0.75       0.4        0.41666667 0.52631579 0.66666667
 0.375      0.54545455 0.         0.8       ]","[0.72727273 0.9        0.61538462 0.55555556 1.         0.22222222
 0.33333333 0.6        0.         0.4       ]"
252,10.0,3.0,144.0,0.51,"[0.8        0.69230769 0.34782609 0.45454545 0.66666667 1.
 0.16666667 0.4        1.         0.4       ]","[0.72727273 0.9        0.61538462 0.55555556 1.         0.11111111
 0.11111111 0.6        0.11111111 0.2       ]"
253,10.0,3.0,1.0,0.42,"[0.55555556 0.81818182 0.29411765 0.8        0.45454545 0.30769231
 0.22222222 0.33333333 0.16666667 0.38461538]","[0.5        0.9        0.41666667 0.44444444 0.45454545 0.44444444
 0.2        0.2        0.11111111 0.5       ]"
254,10.0,3.0,2.0,0.51,"[0.6        0.71428571 0.3125     0.625      0.46666667 0.4
 0.25       0.625      0.5        0.75      ]","[0.9        1.         0.41666667 0.55555556 0.63636364 0.44444444
 0.2        0.5        0.11111111 0.3       ]"
255,10.0,3.0,3.0,0.51,"[0.5        0.83333333 0.375      0.66666667 0.46153846 0.5
 0.25       0.55555556 0.33333333 0.5       ]","[0.7        1.         0.5        0.66666667 0.54545455 0.55555556
 0.2        0.5        0.11111111 0.3       ]"
256,10.0,3.0,5.0,0.54,"[0.66666667 0.76923077 0.45454545 0.66666667 0.57142857 0.44444444
 0.14285714 0.71428571 0.         0.55555556]","[1.         1.         0.41666667 0.66666667 0.72727273 0.44444444
 0.1        0.5        0.         0.5       ]"
257,10.0,3.0,8.0,0.56,"[0.71428571 0.90909091 0.41666667 0.66666667 0.42857143 0.5
 0.4        0.5        0.         0.66666667]","[1.         1.         0.41666667 0.66666667 0.54545455 0.55555556
 0.4        0.6        0.         0.4       ]"
258,10.0,3.0,13.0,0.55,"[0.76923077 0.90909091 0.46153846 0.6        0.5        0.44444444
 0.33333333 0.45454545 0.         0.625     ]","[1.         1.         0.5        0.66666667 0.54545455 0.44444444
 0.3        0.5        0.         0.5       ]"
259,10.0,3.0,21.0,0.54,"[0.83333333 0.76923077 0.5        0.625      0.36363636 0.45454545
 0.5        0.45454545 0.         0.33333333]","[1.         1.         0.58333333 0.55555556 0.36363636 0.55555556
 0.5        0.5        0.         0.3       ]"
260,10.0,3.0,34.0,0.55,"[0.83333333 0.76923077 0.4375     0.45454545 0.38461538 0.33333333
 0.83333333 0.5        0.5        0.5       ]","[1.         1.         0.58333333 0.55555556 0.45454545 0.33333333
 0.5        0.5        0.11111111 0.4       ]"
261,10.0,3.0,55.0,0.5,"[0.83333333 0.76923077 0.42857143 0.5        0.41666667 0.33333333
 0.45454545 0.42857143 0.25       0.27272727]","[1.         1.         0.5        0.55555556 0.45454545 0.22222222
 0.5        0.3        0.11111111 0.3       ]"
262,10.0,3.0,89.0,0.51,"[0.71428571 0.71428571 0.4        0.54545455 0.38461538 0.5
 0.16666667 0.41666667 0.66666667 0.5       ]","[1.         1.         0.5        0.66666667 0.45454545 0.33333333
 0.1        0.5        0.22222222 0.3       ]"
263,10.0,3.0,144.0,0.48,"[0.69230769 0.55555556 0.33333333 0.41666667 0.41666667 0.5
 0.42857143 0.45454545 1.         0.42857143]","[0.9        1.         0.41666667 0.55555556 0.45454545 0.22222222
 0.3        0.5        0.11111111 0.3       ]"
264,10.0,3.0,1.0,0.45,"[0.57142857 0.90909091 0.45454545 0.42857143 0.8        0.16666667
 0.4        0.27272727 0.16666667 0.38461538]","[0.8        1.         0.41666667 0.33333333 0.36363636 0.11111111
 0.4        0.3        0.22222222 0.5       ]"
265,10.0,3.0,2.0,0.48,"[0.5625     0.83333333 0.42105263 0.28571429 0.5        0.16666667
 0.33333333 0.45454545 0.         0.66666667]","[0.9        1.         0.66666667 0.22222222 0.72727273 0.11111111
 0.3        0.5        0.         0.2       ]"
266,10.0,3.0,3.0,0.44,"[0.5        0.76923077 0.33333333 0.42857143 0.46153846 0.
 0.33333333 0.33333333 0.5        0.5       ]","[0.8        1.         0.5        0.33333333 0.54545455 0.
 0.3        0.3        0.11111111 0.4       ]"
267,10.0,3.0,5.0,0.44,"[0.72727273 1.         0.30434783 0.66666667 0.42857143 0.
 0.2        0.36363636 0.33333333 0.28571429]","[0.8        1.         0.58333333 0.44444444 0.54545455 0.
 0.2        0.4        0.11111111 0.2       ]"
268,10.0,3.0,8.0,0.48,"[0.5625     1.         0.27272727 0.75       0.5        0.33333333
 0.25       0.44444444 0.5        0.45454545]","[0.9        1.         0.5        0.33333333 0.45454545 0.22222222
 0.2        0.4        0.22222222 0.5       ]"
269,10.0,3.0,13.0,0.5,"[0.69230769 1.         0.33333333 0.66666667 0.5        0.14285714
 0.375      0.4        0.4        0.5       ]","[0.9        1.         0.58333333 0.44444444 0.63636364 0.11111111
 0.3        0.4        0.22222222 0.3       ]"
270,10.0,3.0,21.0,0.47,"[0.61538462 1.         0.33333333 0.66666667 0.53846154 0.
 0.33333333 0.38461538 0.33333333 0.2       ]","[0.8        1.         0.58333333 0.44444444 0.63636364 0.
 0.3        0.5        0.22222222 0.1       ]"
271,10.0,3.0,34.0,0.49,"[0.72727273 1.         0.36363636 0.55555556 0.4375     0.
 0.42857143 0.33333333 0.4        0.4       ]","[0.8        1.         0.66666667 0.55555556 0.63636364 0.
 0.3        0.4        0.22222222 0.2       ]"
272,10.0,3.0,55.0,0.5,"[0.81818182 1.         0.38095238 0.5        0.5        0.
 0.44444444 0.35714286 0.25       0.33333333]","[0.9        1.         0.66666667 0.44444444 0.63636364 0.
 0.4        0.5        0.11111111 0.2       ]"
273,10.0,3.0,89.0,0.5,"[0.83333333 0.76923077 0.35       0.5        0.53846154 0.
 0.625      0.3        0.         0.44444444]","[1.         1.         0.58333333 0.44444444 0.63636364 0.
 0.5        0.3        0.         0.4       ]"
274,10.0,3.0,144.0,0.48,"[0.83333333 0.71428571 0.28571429 0.44444444 0.53846154 0.
 0.45454545 0.28571429 0.         0.33333333]","[1.         1.         0.5        0.44444444 0.63636364 0.
 0.5        0.4        0.         0.2       ]"
275,10.0,3.0,1.0,0.45,"[0.54545455 0.69230769 0.54545455 0.58333333 0.07692308 0.22222222
 0.375      0.625      0.28571429 0.5       ]","[0.6        0.9        0.5        0.77777778 0.1        0.22222222
 0.3        0.45454545 0.22222222 0.4       ]"
276,10.0,3.0,2.0,0.45,"[0.5        0.6        0.5        0.54545455 0.21052632 0.375
 0.5        0.4        0.33333333 0.66666667]","[0.8        0.9        0.66666667 0.66666667 0.4        0.33333333
 0.2        0.18181818 0.11111111 0.2       ]"
277,10.0,3.0,3.0,0.51,"[0.46666667 0.64285714 0.53333333 0.7        0.26315789 0.5
 0.5        0.4        0.66666667 0.8       ]","[0.7        0.9        0.66666667 0.77777778 0.5        0.66666667
 0.1        0.18181818 0.22222222 0.4       ]"
278,10.0,3.0,5.0,0.55,"[0.5        0.75       0.5        0.58333333 0.35       0.5
 0.8        0.71428571 0.4        1.        ]","[0.8        0.9        0.41666667 0.77777778 0.7        0.55555556
 0.4        0.45454545 0.22222222 0.3       ]"
279,10.0,3.0,8.0,0.54,"[0.5        0.75       0.6        0.5        0.36842105 0.625
 1.         0.625      0.2        0.66666667]","[0.9        0.9        0.5        0.77777778 0.7        0.55555556
 0.3        0.45454545 0.11111111 0.2       ]"
280,10.0,3.0,13.0,0.55,"[0.5        0.75       0.58333333 0.7        0.35294118 0.57142857
 0.5        0.71428571 0.33333333 0.57142857]","[0.8        0.9        0.58333333 0.77777778 0.6        0.44444444
 0.3        0.45454545 0.22222222 0.4       ]"
281,10.0,3.0,21.0,0.52,"[0.53333333 0.75       0.53846154 0.53846154 0.33333333 0.5
 0.6        0.6        0.25       0.42857143]","[0.8        0.9        0.58333333 0.77777778 0.5        0.33333333
 0.3        0.54545455 0.11111111 0.3       ]"
282,10.0,3.0,34.0,0.48,"[0.53333333 0.71428571 0.53333333 0.58333333 0.23529412 0.66666667
 0.42857143 0.28571429 0.33333333 0.5       ]","[0.8        1.         0.66666667 0.77777778 0.4        0.22222222
 0.3        0.18181818 0.22222222 0.2       ]"
283,10.0,3.0,55.0,0.49,"[0.5        0.66666667 0.61538462 0.63636364 0.30769231 0.5
 0.28571429 0.42857143 0.25       0.5       ]","[0.8        1.         0.66666667 0.77777778 0.4        0.22222222
 0.2        0.27272727 0.22222222 0.3       ]"
284,10.0,3.0,89.0,0.46,"[0.47058824 0.625      0.53846154 0.57142857 0.33333333 1.
 0.16666667 0.375      0.         0.57142857]","[0.8        1.         0.58333333 0.88888889 0.4        0.11111111
 0.1        0.27272727 0.         0.4       ]"
285,10.0,3.0,144.0,0.47,"[0.57142857 0.52631579 0.53333333 0.61538462 0.33333333 0.
 0.28571429 0.57142857 0.         0.33333333]","[0.8        1.         0.66666667 0.88888889 0.5        0.
 0.2        0.36363636 0.         0.2       ]"
286,10.0,3.0,1.0,0.44,"[0.8        1.         0.54545455 0.55555556 0.4        0.2
 0.44444444 0.4        0.         0.33333333]","[0.72727273 0.88888889 0.5        0.55555556 0.6        0.11111111
 0.4        0.18181818 0.         0.4       ]"
287,10.0,3.0,2.0,0.41,"[0.61538462 0.88888889 0.35714286 0.41666667 0.26086957 0.22222222
 0.42857143 0.75       0.         0.16666667]","[0.72727273 0.88888889 0.41666667 0.55555556 0.6        0.22222222
 0.3        0.27272727 0.         0.1       ]"
288,10.0,3.0,3.0,0.39,"[0.57142857 0.88888889 0.33333333 0.35714286 0.22222222 0.33333333
 0.5        0.66666667 0.         0.33333333]","[0.72727273 0.88888889 0.33333333 0.55555556 0.4        0.22222222
 0.2        0.18181818 0.         0.4       ]"
289,10.0,3.0,5.0,0.38,"[0.61538462 1.         0.38461538 0.5        0.17647059 0.25
 0.28571429 0.5        0.125      0.1       ]","[0.72727273 0.88888889 0.41666667 0.55555556 0.3        0.22222222
 0.2        0.27272727 0.11111111 0.1       ]"
290,10.0,3.0,8.0,0.4,"[0.5        1.         0.41666667 0.6        0.22222222 0.375
 0.25       0.42857143 0.22222222 0.1       ]","[0.63636364 0.88888889 0.41666667 0.66666667 0.4        0.33333333
 0.1        0.27272727 0.22222222 0.1       ]"
291,10.0,3.0,13.0,0.48,"[0.53846154 1.         0.45454545 0.66666667 0.36363636 0.42857143
 0.42857143 0.5        0.22222222 0.4       ]","[0.63636364 0.88888889 0.41666667 0.66666667 0.8        0.33333333
 0.3        0.18181818 0.22222222 0.4       ]"
292,10.0,3.0,21.0,0.48,"[0.63636364 1.         0.55555556 0.66666667 0.35294118 0.33333333
 0.33333333 0.6        0.33333333 0.33333333]","[0.63636364 0.77777778 0.41666667 0.66666667 0.6        0.33333333
 0.4        0.27272727 0.33333333 0.4       ]"
293,10.0,3.0,34.0,0.52,"[0.63636364 1.         0.6        0.66666667 0.38461538 0.36363636
 0.38461538 0.44444444 0.6        0.36363636]","[0.63636364 0.88888889 0.5        0.66666667 0.5        0.44444444
 0.5        0.36363636 0.33333333 0.4       ]"
294,10.0,3.0,55.0,0.5,"[0.61538462 0.8        0.55555556 0.66666667 0.33333333 0.375
 0.41666667 0.5        0.5        0.35714286]","[0.72727273 0.88888889 0.41666667 0.66666667 0.5        0.33333333
 0.5        0.18181818 0.33333333 0.5       ]"
295,10.0,3.0,89.0,0.51,"[0.58333333 0.72727273 0.54545455 0.66666667 0.47058824 0.44444444
 0.3        0.57142857 0.2        0.44444444]","[0.63636364 0.88888889 0.5        0.66666667 0.8        0.44444444
 0.3        0.36363636 0.11111111 0.4       ]"
296,10.0,3.0,144.0,0.49,"[0.58333333 0.61538462 0.54545455 0.54545455 0.42105263 0.4
 0.22222222 0.5        0.5        0.5       ]","[0.63636364 0.88888889 0.5        0.66666667 0.8        0.22222222
 0.2        0.45454545 0.22222222 0.3       ]"
297,10.0,3.0,1.0,0.37,"[0.45454545 0.8        0.18181818 0.33333333 0.28571429 0.
 0.3        0.41666667 0.2        0.66666667]","[0.45454545 0.88888889 0.16666667 0.44444444 0.2        0.
 0.3        0.45454545 0.22222222 0.6       ]"
298,10.0,3.0,2.0,0.34,"[0.38461538 0.66666667 0.2        0.41666667 0.36363636 0.07142857
 0.125      0.45454545 0.         1.        ]","[0.45454545 0.88888889 0.25       0.55555556 0.4        0.11111111
 0.1        0.45454545 0.         0.2       ]"
299,10.0,3.0,3.0,0.4,"[0.46153846 0.8        0.1875     0.41666667 0.5        0.11111111
 0.         0.6        0.25       0.625     ]","[0.54545455 0.88888889 0.25       0.55555556 0.5        0.11111111
 0.         0.54545455 0.11111111 0.5       ]"
300,10.0,3.0,5.0,0.41,"[0.42857143 0.88888889 0.2        0.57142857 0.45454545 0.
 0.23076923 0.53846154 0.25       0.44444444]","[0.54545455 0.88888889 0.25       0.44444444 0.5        0.
 0.3        0.63636364 0.11111111 0.4       ]"
301,10.0,3.0,8.0,0.38,"[0.45454545 0.72727273 0.28571429 0.57142857 0.46153846 0.
 0.13333333 0.55555556 0.14285714 0.33333333]","[0.45454545 0.88888889 0.33333333 0.44444444 0.6        0.
 0.2        0.45454545 0.11111111 0.3       ]"
302,10.0,3.0,13.0,0.41,"[0.55555556 0.72727273 0.3125     0.66666667 0.53846154 0.25
 0.2        0.57142857 0.22222222 0.2       ]","[0.45454545 0.88888889 0.41666667 0.44444444 0.7        0.11111111
 0.3        0.36363636 0.22222222 0.2       ]"
303,10.0,3.0,21.0,0.42,"[0.625      0.66666667 0.3125     0.57142857 0.46666667 0.25
 0.13333333 0.8        0.16666667 0.41666667]","[0.45454545 0.88888889 0.41666667 0.44444444 0.7        0.11111111
 0.2        0.36363636 0.11111111 0.5       ]"
304,10.0,3.0,34.0,0.42,"[0.625      0.66666667 0.4375     0.5        0.53846154 0.
 0.13333333 0.5        0.         0.36363636]","[0.45454545 0.88888889 0.58333333 0.44444444 0.7        0.
 0.2        0.45454545 0.         0.4       ]"
305,10.0,3.0,55.0,0.41,"[0.66666667 0.61538462 0.44444444 0.5        0.55555556 0.25
 0.25       0.36363636 0.         0.30769231]","[0.36363636 0.88888889 0.66666667 0.33333333 0.5        0.11111111
 0.4        0.36363636 0.         0.4       ]"
306,10.0,3.0,89.0,0.42,"[0.55555556 0.53333333 0.3125     0.5        0.875      0.2
 0.30769231 0.44444444 0.         0.33333333]","[0.45454545 0.88888889 0.41666667 0.33333333 0.7        0.11111111
 0.4        0.36363636 0.         0.5       ]"
307,10.0,3.0,144.0,0.45,"[0.5        0.5625     0.25       0.5        0.625      0.
 0.4        0.69230769 0.         0.35714286]","[0.45454545 1.         0.41666667 0.33333333 0.5        0.
 0.4        0.81818182 0.         0.5       ]"
308,10.0,3.0,1.0,0.53,"[0.88888889 1.         0.5        0.7        0.45454545 0.28571429
 0.28571429 0.55555556 0.3        0.44444444]","[0.72727273 1.         0.5        0.77777778 0.5        0.22222222
 0.4        0.45454545 0.33333333 0.4       ]"
309,10.0,3.0,2.0,0.51,"[0.71428571 1.         0.39130435 0.6        0.35294118 0.375
 0.42857143 0.75       0.25       0.25      ]","[0.90909091 1.         0.75       0.66666667 0.6        0.33333333
 0.3        0.27272727 0.11111111 0.1       ]"
310,10.0,3.0,3.0,0.5,"[0.76923077 0.9        0.39130435 0.66666667 0.3        0.2
 0.33333333 0.66666667 0.         0.28571429]","[0.90909091 1.         0.75       0.88888889 0.3        0.11111111
 0.2        0.54545455 0.         0.2       ]"
